image,sigma,noisy_psnr,method,iterations,lambda,psnr,time_ms
ape,0.150000006,16.62777749,GD,200,0.02511886507,19.03059538,1194.6723
ape,0.150000006,16.62777749,GD,200,0.03981071711,20.37745269,1079.2087
ape,0.150000006,16.62777749,GD,200,0.06309573352,22.07788701,805.46
ape,0.150000006,16.62777749,GD,200,0.1000000015,22.94754026,643.6607
ape,0.150000006,16.62777749,GD,200,0.1584893167,22.52760679,698.5091
ape,0.150000006,16.62777749,GD,200,0.2511886358,22.09259143,731.7955
ape,0.150000006,16.62777749,GD,200,0.3981071711,21.67403493,803.6499
ape,0.150000006,16.62777749,GD,200,0.630957365,21.37350411,718.0492
ape,0.150000006,16.62777749,GD,200,1,21.24184787,682.3346
ape,0.150000006,16.62777749,Newton,15,0.009999999776,17.57721087,1739.027
ape,0.150000006,16.62777749,Newton,15,0.01584893279,18.13924886,1645.8718
ape,0.150000006,16.62777749,Newton,15,0.02511886507,19.02767508,1621.7104
ape,0.150000006,16.62777749,Newton,15,0.03981071711,20.3761207,1681.7519
ape,0.150000006,16.62777749,Newton,15,0.06309573352,22.07929903,1361.886
ape,0.150000006,16.62777749,Newton,15,0.1000000015,23.01308856,1691.8956
ape,0.150000006,16.62777749,Newton,15,0.1584893167,22.47701784,1548.6689
ape,0.150000006,16.62777749,Newton,15,0.2511886358,21.68339569,1631.6615
ape,0.150000006,16.62777749,Newton,15,0.3981071711,21.00531145,1644.3548
ape,0.150000006,16.62777749,Newton,15,0.630957365,20.39972087,1809.1263
ape,0.150000006,16.62777749,Newton,15,1,19.7654422,2090.0051
ape,0.200000003,14.34871883,GD,200,0.009999999776,15.10917169,1128.6746
ape,0.200000003,14.34871883,GD,200,0.01584893279,15.56434619,1331.4863
ape,0.200000003,14.34871883,GD,200,0.02511886507,16.29780094,1275.1383
ape,0.200000003,14.34871883,GD,200,0.03981071711,17.47451619,1176.3832
ape,0.200000003,14.34871883,GD,200,0.06309573352,19.26606471,1241.1935
